,cid,text,time,author,channel,votes,photo,heart
46,UgwujTdEPeHgKa6mHGN4AaABAg.9JuSuIKN10a9JujfAoho4K,தமிழ் சினிமா இந்த படத்தால  பெருமை படப்போகுதுனு இந்த ஒரு பாடுலையே தெரிகிறது  😍😘😘😘😘,2 months ago,Coffee Time,UCUmu-_ToZZ-r_Nhz2HKdYrA,5,https://yt3.ggpht.com/ytc/AAUvwnjPiNuglsSRYgZOd9nMmuD-wV50GPrF4tWa-FAV=s176-c-k-c0x00ffffff-no-rj,False
47,UgwujTdEPeHgKa6mHGN4AaABAg.9JuSuIKN10a9JuhvwLj-1i,❤❤❤❤❤❤❤🖤mass,2 months ago,Adaikkan Poovan,UCsB_Ji-zDDr9V3PCKDZxaYA,2,https://yt3.ggpht.com/ytc/AAUvwnhrDci0hpE8dtKwUQcNoj9Q04qNsRPc_FQlng=s176-c-k-c0x00ffffff-no-rj,False
48,UgwujTdEPeHgKa6mHGN4AaABAg.9JuSuIKN10a9JuhCn7nmuf, @Maari  English,2 months ago,SONU,UCkMrY14wmm5DEV1S4nBLsGQ,3,https://yt3.ggpht.com/ytc/AAUvwnhXglBfEUt4LovnPDnVaS2wvjnwj6AZbhTO9_j3=s176-c-k-c0x00ffffff-no-rj,False
49,UgwujTdEPeHgKa6mHGN4AaABAg.9JuSuIKN10a9JugJ1erZR2,"What has 13 hearts but no other organs?





Answer : A deck of cards 😅💕

-BRAIN QUIZ 🧠🙂 💯",2 months ago,Brain Quiz,UC0VuAoUtKcnC9jUTCR4KIeQ,5,https://yt3.ggpht.com/ytc/AAUvwnid6sYFS3mf7nLElhW5aIX7ucxoL04qsjKFe_fJ=s176-c-k-c0x00ffffff-no-rj,False
50,UgwujTdEPeHgKa6mHGN4AaABAg.9JuSuIKN10a9Jueuyqepz0, @SONU  ఇదెక్కడి మాస్ రా మావా 😂😂,2 months ago,Maari,UCNq5w4e010MxJq7C7QidmLA,2,https://yt3.ggpht.com/ytc/AAUvwnj25-cMpC1LZcK9xpvAfePJQAHUdBGYf0tIbTPbyg=s176-c-k-c0x00ffffff-no-rj,False
51,UgwujTdEPeHgKa6mHGN4AaABAg.9JuSuIKN10a9JueL0RWdq8,🤩😍,2 months ago,Udaya Manonmani,UCvV-V0WcIiF70SJ6QJE5oew,4,https://yt3.ggpht.com/ytc/AAUvwniwoQkVyuYHI2axlwzLghC9ANZoBGN1G5H8Yudnx7E=s176-c-k-c0x00ffffff-no-rj,False
52,UgwujTdEPeHgKa6mHGN4AaABAg.9JuSuIKN10a9Judz_gQvMO,kola mass cheta,2 months ago,KD TUBER,UCErVDmX5oZeLk0rrpb5yxvQ,5,https://yt3.ggpht.com/ytc/AAUvwnjojDlNPW-R5U-yW1HGmaXaR-SbNnakh2T3qh9g=s176-c-k-c0x00ffffff-no-rj,False
53,UgwujTdEPeHgKa6mHGN4AaABAg.9JuSuIKN10a9JucwAqS0X2,"Music ok 
Song ok 

But not satisfied asuran level ku varadhu",2 months ago,Vittal Nandola,UCUPNGiCXufbxcb1_ICPuPQA,3,https://yt3.ggpht.com/ytc/AAUvwniP0w51cZQsZzrYOyLyxFjQu3aaj65xmfGHUtMA=s176-c-k-c0x00ffffff-no-rj,False
54,UgwujTdEPeHgKa6mHGN4AaABAg.9JuSuIKN10a9JucdnKKLtw,Ok but asuran level ku varadhu,2 months ago,Vittal Nandola,UCUPNGiCXufbxcb1_ICPuPQA,4,https://yt3.ggpht.com/ytc/AAUvwniP0w51cZQsZzrYOyLyxFjQu3aaj65xmfGHUtMA=s176-c-k-c0x00ffffff-no-rj,False
55,UgwujTdEPeHgKa6mHGN4AaABAg.9JuSuIKN10a9JucYkFEWMN,"BOLLYWOOD: flop movies come from flop places.😂😂😂🤮🤮
HOLLYWOOD: Powerful movies  come from places.😁😁
SOUTH: powerful people make movies Powerful.🔥🔥🔥🔥🔥🔥😱😱😱😱😱",2 months ago,SONU,UCkMrY14wmm5DEV1S4nBLsGQ,5,https://yt3.ggpht.com/ytc/AAUvwnhXglBfEUt4LovnPDnVaS2wvjnwj6AZbhTO9_j3=s176-c-k-c0x00ffffff-no-rj,False
56,UgwujTdEPeHgKa6mHGN4AaABAg.9JuSuIKN10a9Juayss1Xde,மகா பிரபு நீங்க இங்கதான் இருக்கிங்களா😂😂😂,2 months ago,64_Stephen Kennedy,UCuQvUHaOErXLiaRTNOLeS-g,4,https://yt3.ggpht.com/ytc/AAUvwni9q1nRE8-23nACQsrBGAQS-39pUdDAuFk5_jYYTg=s176-c-k-c0x00ffffff-no-rj,False
57,UgwujTdEPeHgKa6mHGN4AaABAg.9JuSuIKN10a9JuarbQ0soM,விஜய் சூர்யாவிற்க்கு ஆஸ்கா் விருது வாங்கித்தர நான் தயாா்  சவால்          பிரேஸ் மீடியா என்னை பேட்டி எடுப்பாா்களா    director am chandru  9150871338 producer தேவை படத்தின் பட்ஜெட் 2 கோடி  இந்த படத்திற்க்கு     4 ஆஸ்கா் விருது      8 தேசிய விருது வாங்கித்தருவேன் producer ருக்கு 10 கோடி பணம் லாபம் தருவேன் இப்படத்தில் வரும் அனைத்து வருமானமும்   நடிகா் சங்கத்திற்க்கும் இயக்குனா் சங்கத்திற்க்கும் தயாரிப்பாளா் சங்கத்திற்க்கும் கண்பார்வை இல்லாதவர்களுக்கும் தற்க்கொலை செய்துக்கொண்ட விவசாய குடும்பங்களுக்கும் போய்ச்சேரும்,2 months ago,director chandru,UCflgm4zN6okIrEFI-nR8PSQ,9,https://yt3.ggpht.com/ytc/AAUvwnibsTTo-fcyX8EbL5v1do4_tjSfvrigTUpBiVzCcA=s176-c-k-c0x00ffffff-no-rj,False
58,UgwujTdEPeHgKa6mHGN4AaABAg.9JuSuIKN10a9Jua0-A5Mw4,Jai Dhanush 😎❤❤,2 months ago,Maari,UCNq5w4e010MxJq7C7QidmLA,9,https://yt3.ggpht.com/ytc/AAUvwnj25-cMpC1LZcK9xpvAfePJQAHUdBGYf0tIbTPbyg=s176-c-k-c0x00ffffff-no-rj,False
59,UgwujTdEPeHgKa6mHGN4AaABAg.9JuSuIKN10a9JuZ_Fqdhyv,Masssssssssssssssssssss,2 months ago,மதுரைவீரன் ரகளை,UCyIGMq6cY2CvS3aEBa-iPxA,8,https://yt3.ggpht.com/ytc/AAUvwngKYSR-xrwvHmrPeBYeb388findbu6SOqbcSca4Iw=s176-c-k-c0x00ffffff-no-rj,False
60,UgwujTdEPeHgKa6mHGN4AaABAg.9JuSuIKN10a9JuYzPMSGGj,Sound 🔊 keliuthu,2 months ago,MMA productions,UC-e6U-ALbH8ATOCgpRk-23A,8,https://yt3.ggpht.com/ytc/AAUvwnhbTj38vcQY4-CrLTA-cM5_75CfN9Ua8eDSlzic8w=s176-c-k-c0x00ffffff-no-rj,False
61,UgwujTdEPeHgKa6mHGN4AaABAg.9JuSuIKN10a9JuYwYwEK7W,Private vdo🙄,2 months ago,Lol club,UCd58Q2oTkVly76qjtLnELgQ,5,https://yt3.ggpht.com/ytc/AAUvwniGnRPahmM10fgrS4vDvt6PPxHTp1hp4nIDsg=s176-c-k-c0x00ffffff-no-rj,False
